ean,produto,codshopfarma,preco_shopfarma,link_preco_popular,cod_preco_popular,preco_preco_popular,link_raia,cod_raia,preco_raia,link_paguemenos,cod_paguemenos,preco_paguemenos,link_saojoao,cod_saojoao,preco_saojoao
7896241225530,   ABLOK 100MG 30CP,101923,54.0,https://www.precopopular.com.br/ablok-100mg-com-30-comprimidos/p,688601,44.3,https://drogaraia.com.br/ablok-100-mg-30-comprimidos.html,79528,41.79,https://www.paguemenos.com.br/ablok-100mg-com-30-comprimidos/p,16032,42.85,https://www.saojoaofarmacias.com.br/ablok-100mg-30-comprimidos-biolab/p,,44.39
7896241221853,   ABLOK 25MG 30CP,17720,13.99,https://www.precopopular.com.br/ablok-25mg-com-30-comprimidos/p,688590,9.58,https://drogaraia.com.br/ablok-25-mg-30-comprimidos.html,34335,9.99,https://www.paguemenos.com.br/ablok-25mg-com-30-comprimidos/p,16033,6.25,https://www.saojoaofarmacias.com.br/ablok-25mg-30cp-biolab/p,,9.9
7896241225523,   ABLOK 50MG 30CP,101922,33.0,https://www.precopopular.com.br/ablok-50mg-com-30-comprimidos/p,688599,27.07,https://drogaraia.com.br/ablok-50-mg-30-comprimidos.html,47452,26.09,https://www.paguemenos.com.br/ablok-50mg-com-30-comprimidos/p,16034,26.35,https://www.saojoaofarmacias.com.br/ablok-50mg-30cp-biolab/p,,28.59
7896241225547,   ABLOK PLUS 100MG+25MG 30CP,101925,68.0,https://www.precopopular.com.br/ablok-plus-100-25mg-com-30-comprimidos/p,688598,55.41,https://drogaraia.com.br/ablok-plus-100-25-mg-30-comprimidos.html,65082,51.59,https://www.paguemenos.com.br/ablok-plus-100-25mg-com-30-comprimidos/p,16031,52.05,https://www.saojoaofarmacias.com.br/91027/p,,55.69
7896112425250,"   ABLOK PLUS 25MG+12,5MG 30CP",8884,11.28,,,,https://drogaraia.com.br/ablok-plus-25-12-5-mg-30-comprimidos.html,25697,17.99,,,,,,
7896241225257,"   ABLOK PLUS 25MG+12,5MG 30CP",13476,22.5,https://www.precopopular.com.br/ablok-plus-25-12-5mg-com-30-comprimidos/p,706852,18.6,,,,https://www.paguemenos.com.br/ablok-plus-25-12-5mg-com-30-comprimidos/p,29558,18.35,https://www.saojoaofarmacias.com.br/10090807/p,,20.19
7896112411529,"   ABLOK PLUS 25MG+12,5MG 60CP",130025,45.74,https://www.precopopular.com.br/ablok-plus-25-12-5mg-com-60-comprimidos/p,727122,37.19,https://drogaraia.com.br/ablok-plus-25-12-5-mg-60-comprimidos.html,1486,35.79,https://www.paguemenos.com.br/ablok-plus-25-12-5mg-com-60-comprimidos/p,44511,35.65,https://www.saojoaofarmacias.com.br/100010705/p,,38.79
7896241225127,"   ABLOK PLUS 50MG+12,5MG 30CP",101924,42.0,https://www.precopopular.com.br/ablok-plus-50-12-5mg-com-30-comprimidos/p,688600,34.35,https://drogaraia.com.br/ablok-plus-50-12-5-mg-30-comprimidos.html,98425,32.79,https://www.paguemenos.com.br/ablok-plus-50-12-5mg-com-30-comprimidos/p,16004,32.45,https://www.saojoaofarmacias.com.br/12854/p,,35.49
7896112411512,"   ABLOK PLUS 50MG+12,5MG 60CP",130026,84.5,https://www.precopopular.com.br/ablok-plus-50-12-5mg-com-60-comprimidos/p,727123,68.71,https://drogaraia.com.br/ablok-plus-50-12-5-mg-60-comprimidos.html,1490,58.99,https://www.paguemenos.com.br/ablok-plus-50-12-5mg-com-60-comprimidos/p,44510,64.25,https://www.saojoaofarmacias.com.br/100010704/p,,68.99
7898040320973,   ABRILAR 7MG/ML XPE 100ML,103593,41.9,https://www.precopopular.com.br/abrilar-xarope-100ml/p,698718,39.31,https://drogaraia.com.br/abrilar-xarope-100-ml.html,70030,36.99,https://www.paguemenos.com.br/abrilar-xarope-100ml/p,20635,36.55,https://www.saojoaofarmacias.com.br/abrilar-100ml-xpe-fqm/p,,37.49
7898040328290,   ABRILAR L-MENTOL 7MG/ML 200ML,135427,70.4,https://www.precopopular.com.br/abrilar-200ml-xarope-7mg-ml-l-mentol/p,740049,71.9,https://drogaraia.com.br/abrilar-l-mentol-xarope-com-extrato-seco-de-hedera-helix-200ml.html,113177,66.39,https://www.paguemenos.com.br/abrilar-xarope-l-mentol-200ml/p,59025,67.65,,,
7898593052970,   ACALENTUS MELATONINA 90CAP,132892,63.9,,,,,,,,,,,,
7898103650955,   ACALMIL 20CP REV,128586,34.9,,,,https://drogaraia.com.br/acalmil-fitoterapico-com-20-comprimidos-revestidos.html,263239,19.9,,,,,,
7898029550407,"   ACERTALIX 5MG+1,25MG 30CP REV",130027,85.0,https://www.precopopular.com.br/acertalix-5mg---1-25mg-com-30-comprimidos-revestidos/p,738217,80.97,https://drogaraia.com.br/acertalix-5mg-1-25mg.html,79239,92.99,https://www.paguemenos.com.br/acertalix-com-5mg-de-perindopril-arginina-mais-1-25mg-de-indapamida-com-30-comprimidos/p,56347,87.45,https://www.saojoaofarmacias.com.br/10022748/p,,85.2
7898029550353,   ACERTANLO 14MG+10MG 30CP,130028,137.36,https://www.precopopular.com.br/acertanlo-14-10mg-com-30-comprimidos/p,731804,119.94,https://drogaraia.com.br/acertanlo-14mg-10mg-30-comprimidos.html,11977,104.24,https://www.paguemenos.com.br/acertanlo-14mgmais10mg-com-30-comprimidos/p,49594,119.85,https://www.saojoaofarmacias.com.br/100021191/p,,119.29
7898029550315,"   ACERTANLO 3,5MG+2,5MG 30CP",17729,58.35,https://www.precopopular.com.br/acertanlo-2-5-3-5mg-com-30-comprimidos/p,731802,53.14,https://drogaraia.com.br/acertanlo-3-5-2-5mg-30-comprimidos.html,11972,45.23,https://www.paguemenos.com.br/acertanlo-3-5mgmais2-5mg-com-30-comprimidos/p,49592,51.05,https://www.saojoaofarmacias.com.br/100021189/p,,51.49
7898029550339,   ACERTANLO 7MG+5MG 30CP,26737,79.0,https://www.precopopular.com.br/acertanlo-7-5mg-com-30-comprimidos/p,731803,72.82,https://drogaraia.com.br/acertanlo-7mg-5mg-30-comprimidos.html,11975,60.98,https://www.paguemenos.com.br/acertanlo-7mgmais5mg-com-30-comprimidos/p,49593,63.15,https://www.saojoaofarmacias.com.br/100021190/p,,68.69
7898029550247,   ACERTIL 10MG 30CP REV,17730,92.49,https://www.precopopular.com.br/acertil-10mg-com-30-comprimidos/p,725585,81.23,https://drogaraia.com.br/acertil-10mg-com-30-comprimidos.html,60618,66.52,https://www.paguemenos.com.br/acertil-10mg-com-30-comprimidos/p,43276,78.05,https://www.saojoaofarmacias.com.br/acertil-10mg-30cp-servier/p,,77.19
7898029550254,   ACERTIL 10MG 60CP REV,130029,184.95,https://www.precopopular.com.br/acertil-10mg-com-60-comprimidos/p,736459,158.43,https://drogaraia.com.br/acertil-10mg-com-60-comprimidos.html,69342,134.18,,,,,,
7898029550216,   ACERTIL 5MG 30CP REV,130031,69.34,https://www.precopopular.com.br/acertil-5mg-com-30-comprimidos/p,730932,60.85,https://drogaraia.com.br/acertil-5mg-com-30-comprimidos.html,9476,55.44,https://www.paguemenos.com.br/acertil-5mg-com-30-comprimidos/p,48530,57.45,https://www.saojoaofarmacias.com.br/acertil-5mg-30cp-servier/p,,58.59
7898029550223,   ACERTIL 5MG 60CP REV,130030,138.75,https://www.precopopular.com.br/acertil-com-60-comprimidos-revestidos-5mg/p,742168,136.47,https://drogaraia.com.br/acertil-5mg-com-60-comprimidos-revestidos.html,147872,108.66,https://www.paguemenos.com.br/acertil-5mg-com-60-comprimidos-revestidos/p,59521,128.75,,,
7896004715698,   ACETOFLUX 10MG 5CP,102457,9.95,,,,,,,,,,,,
7896658006920,   ACHEFLAN 5MG/G AER 75ML,8671,74.99,https://www.precopopular.com.br/acheflan-aerossol-75ml/p,705653,68.92,https://drogaraia.com.br/acheflan-aerosol-topico-5mg-g-75-ml.html,65663,65.59,https://www.paguemenos.com.br/acheflan-aerosol-75ml/p,28571,64.35,https://www.saojoaofarmacias.com.br/acheflan-aero-75ml-ache/p,,64.19
7896658006432,   ACHEFLAN 5MG/G CR 30G,107609,57.0,https://www.precopopular.com.br/acheflan-creme-30g/p,702664,52.79,https://drogaraia.com.br/acheflan-creme-com-30g.html,42291,52.59,https://www.paguemenos.com.br/acheflan-creme-30g/p,25656,49.25,https://www.saojoaofarmacias.com.br/acheflan-cr-30g-ache/p,,49.79
7896658007170,   ACHEFLAN 5MG/G CR 60G,111807,94.36,https://www.precopopular.com.br/acheflan-creme-60g/p,709637,86.39,https://drogaraia.com.br/acheflan-creme-com-60g.html,99943,83.99,https://www.paguemenos.com.br/acheflan-creme-60g/p,32322,82.05,https://www.saojoaofarmacias.com.br/acheflan-cr-60g-ache/p,,79.59
7896602836689,   ACIDO BORICO 90G,113181,7.9,,,,,,,,,,,,
7896023718533,   ACIDO HIAL 150MG 30CAP,135168,99.01,https://www.precopopular.com.br/acido-hialuronico-catarinense-com-30-capsulas-150mg/p,741032,79.9,https://drogaraia.com.br/catarinense-acido-hialuronico-nutricao-30-capsula-com-150mg.html,171421,69.79,https://www.paguemenos.com.br/acido-hialuronico-150mg-com-30-capsulas-catarinense/p,60430,89.9,,,
7896082900351,   ACNASE CR DERM 25G,2362,46.0,https://www.precopopular.com.br/acnase-creme-25g/p,710255,42.02,https://drogaraia.com.br/enxofre-peroxido-benzoila-acnase-creme-25g-avert-1007964.html,179603,48.16,https://www.paguemenos.com.br/acnase-creme-25g/p,32345,39.65,https://www.saojoaofarmacias.com.br/acnase-creme-25g-avert/p,,46.0
7896082900047,   ACNASE GEL DERM 20G,102081,43.0,https://www.precopopular.com.br/acnase-gel-20g/p,692827,38.32,https://drogaraia.com.br/acnase-gel-tubo-com-20g.html,22282,35.59,https://www.paguemenos.com.br/acnase-gel-20g/p,16208,39.65,https://www.saojoaofarmacias.com.br/acnase-gel-20g-zurita/p,,43.41
7898040320782,"   ACTIFEDRIN 2,5MG+60MG 20CP",3734,13.85,https://www.precopopular.com.br/actifedrin-com-20-comprimidos/p,549892,12.02,https://drogaraia.com.br/actifedrin-2-5-mg-20-comprimidos.html,15615,12.19,,,,https://www.saojoaofarmacias.com.br/actifedrin-20cp-fqm/p,,12.99
7898040320799,   ACTIFEDRIN XPE 100ML,1763,14.37,https://www.precopopular.com.br/actifedrin-xarope-100ml/p,369,12.34,,,,,,,,,
7891058004217,   ACTONEL 150MG 1CP REV,17726,225.25,https://www.precopopular.com.br/actonel-150mg-com-1-comprimido/p,712366,203.47,https://drogaraia.com.br/actonel-uma-vez-ao-mes-150mg-1-comprimidos-revestidos.html,70339,183.0,https://www.paguemenos.com.br/actonel-150mg-com-1-comprimido/p,33736,185.05,,,
7891058019273,   ACTONEL 35MG 2CP REV,107612,93.48,,,,,,,,,,,,
7891058019259,   ACTONEL 35MG 4CP REV,107184,186.91,,,,,,,,,,,,
7891058009618,   ACTONEL 5MG 28CP REV,102034,186.91,,,,,,,,,,,,
7891058016159,   ACTONEL CHRONOS 35MG 4CP REV,130032,211.4,https://www.precopopular.com.br/actonel-chronos-35mg-com-4-comprimidos/p,727633,204.23,,,,,,,,,
7896112452461,   AD-MUC 100MG/G POM BUC 10G,107622,43.99,https://www.precopopular.com.br/ad-muc-pomada-10g/p,700376,41.78,https://drogaraia.com.br/ad-muc-pomada-10g.html,86030,37.59,,,,https://www.saojoaofarmacias.com.br/ad-muc-10g-pomada-avert/p,,38.39
7896112403340,"   AD-MUC KIDS 0,2% GEL BUC 10G",135745,69.85,https://www.precopopular.com.br/ad-muc-kids-10gr-gel-0-2-/p,741939,62.59,https://drogaraia.com.br/ad-muc-kids-gel-x-10g.html,340494,62.39,https://www.paguemenos.com.br/ad-muc-pomada-kids-com-10g/p,64419,61.05,,,
7896641808609,   AD-TIL GTS 20ML,3431,20.4,https://www.precopopular.com.br/adtil-solucao-20ml/p,721272,19.56,,,,https://www.paguemenos.com.br/ad-til-gotas-20ml/p,39357,18.85,https://www.saojoaofarmacias.com.br/ad-til-gotas-takeda/p,,19.19
7897473201637,   ADACNE 1MG/G GEL DERM 30G,2398,48.0,https://www.precopopular.com.br/adacne-1mg-gel-30g/p,705416,42.68,https://drogaraia.com.br/adacne-0-1-gel-30g.html,40469,43.79,,,,,,
7897473205741,   ADACNE CLIN GEL DERM 45G,15971,71.9,https://www.precopopular.com.br/adacne-clin-gel-45g/p,714113,68.7,https://drogaraia.com.br/adacne-clin-gel-bisnaga-45-gramas.html,20797,65.19,,,,,,
7896004769356,"   ADAPTIS 0,5% COL 10ML",17694,27.99,https://www.precopopular.com.br/adaptis-0-5--solucao-oftalmica-10ml/p,726130,25.41,,,,https://www.paguemenos.com.br/adaptis-0-5porcento-solucao-oftalmica-10ml/p,35720,31.7,https://www.saojoaofarmacias.com.br/10104549/p,,28.09
7896004769325,   ADAPTIS 1% COL 10ML,124427,56.0,,,,,,,https://www.paguemenos.com.br/adaptis-1porcento-solucao-oftalmica-10ml/p,35719,59.1,https://www.saojoaofarmacias.com.br/100000711/p,,54.79
7896004749013,"   ADAPTIS FRESH 0,4% COL 10ML",18239,67.24,https://www.precopopular.com.br/adaptis-fresh-0-4--solucao-oftalmica-10ml/p,726129,69.8,,,,,,,,,
7896004762951,"   ADAPTIS FRESH 0,4% COL 10ML",53443,67.5,,,,,,,https://www.paguemenos.com.br/adaptis-fresh-0-4porcento-solucao-oftalmica-10ml/p,43906,65.5,https://www.saojoaofarmacias.com.br/100009965/p,,62.19
7896094917736,   ADDERA CAL 1.000UI 30CP REV,17725,78.42,,,,,,,,,,,,
7896094921160,   ADDERA CAL 1.000UI 90CP REV,133336,141.0,https://www.precopopular.com.br/addera-cal-leve-90-pague-60-comprimidos-revestidos-1000ui-especial/p,738926,168.44,https://drogaraia.com.br/addera-cal-1-000ui-com-90-comprimidos-1.html,111046,135.49,https://www.paguemenos.com.br/addera-cal-1-000ui-frasco-com-90-comprimidos/p,57616,132.75,https://www.saojoaofarmacias.com.br/addera-cal-1000ui-90cp-rev-hypermarcas/p,,127.39
7896094917750,   ADDERA CAL 2.000UI 30CP REV,43652,73.24,,,,https://drogaraia.com.br/addera-cal-2000ui-30-comprimidos-1260454.html,470460,78.64,,,,,,
7896094921122,   ADDERA CAL 2.000UI 30CP REV,133444,72.0,https://www.precopopular.com.br/addera-cal-com-30-comprimidos-revestidos-2000ui/p,738927,93.48,https://drogaraia.com.br/addera-cal-2-000ui-com-30-comprimidos.html,111047,72.99,https://www.paguemenos.com.br/addera-cal-2-000ui-frasco-com-30-comprimidos/p,57617,71.9,https://www.saojoaofarmacias.com.br/addera-cal-2000ui-30cp-rev-hypermarcas/p,,71.79
7896094920279,   ADDERA D3 1.000UI 30CAP MOLE,18149,59.69,https://www.precopopular.com.br/addera-d3-1000ui-com-30-capsulas-gelatinosas/p,738320,56.41,https://drogaraia.com.br/addera-d3-1000-ui-30-capsulas-gelatinosa.html,7231,48.59,https://www.paguemenos.com.br/addera-d3-1000ui-ct-bl-com-30-capsulas/p,57519,48.0,,,
7897322709710,   ADDERA D3 1.000UI 30CAP MOLE,109062,42.0,,,,,,,,,,https://www.saojoaofarmacias.com.br/addera-d3-1000ui-30cap-gel-farmasa/p,,47.79
7897322709420,   ADDERA D3 1.000UI 30CP REV,111475,41.6,,,,,,,https://www.paguemenos.com.br/addera-d3-1000ui-com-30-comprimidos/p,42956,43.95,https://www.saojoaofarmacias.com.br/addera-d3-1000ui-30cp-rev-farmasa/p,,54.01
7896094919440,   ADDERA D3 1.000UI 30CP REV,55840,59.69,,,,,,,https://www.paguemenos.com.br/addera-d3-1-000ui-com-30-comprimidos/p,56032,45.57,,,
7896094919518,   ADDERA D3 1.000UI 30CP REV,124183,59.69,https://www.precopopular.com.br/addera-d3-com-30-comprimidos-revestidos-1000ui/p,738929,57.69,https://drogaraia.com.br/addera-d3-1-000ui-com-30-comprimidos.html,111041,50.99,https://www.paguemenos.com.br/addera-d3-1-000ui-frasco-com-30-comprimidos/p,57791,48.85,https://www.saojoaofarmacias.com.br/addera-d3-1000ui-30cp-rev-hypermarcas/p,,64.1
7896094918634,   ADDERA D3 1.000UI GTS 5ML,17724,58.99,https://www.precopopular.com.br/addera-d3-gotas-5ml-1000ui/p,737284,59.31,https://drogaraia.com.br/addera-1000ui-gotas-5ml.html,78391,61.19,https://www.paguemenos.com.br/adeera-d3-1000ui-gotas-5ml/p,55289,50.8,,,
7897322709994,   ADDERA D3 10.000UI 10CAP MOLE,26695,97.0,https://www.precopopular.com.br/addera-d3-10000ui-com-10-capsulas-gel/p,732200,88.52,https://drogaraia.com.br/addera-d3-10-000ui-10-capsulas-gel.html,18844,75.61,https://www.paguemenos.com.br/addera-d3-10-000-ui-com-10-capsulas/p,50115,79.55,https://www.saojoaofarmacias.com.br/addera-d3-10-000ui-10cap-gel-farmasa/p,,104.67
7897322709505,   ADDERA D3 10.000UI 10CP REV,122038,97.46,https://www.precopopular.com.br/addera-d3-10000ui-com-10-comprimidos/p,732201,89.05,https://drogaraia.com.br/addera-d3-10-000ui-10-comprimidos.html,18841,89.99,https://www.paguemenos.com.br/addera-d3-10-000-com-10-comprimidos/p,50107,95.65,https://www.saojoaofarmacias.com.br/addera-d3-10-000ui-10cp-rev-farmasa/p,,104.67
7897322709987,   ADDERA D3 10.000UI 4CAP MOLE,17125,54.0,https://www.precopopular.com.br/addera-d3-10000ui-com-4-capsulas-gel/p,732199,47.47,https://drogaraia.com.br/addera-d3-10-000ui-4-capsulas-gel.html,18848,47.0,https://www.paguemenos.com.br/addera-d3-10-000-ui-com-4-capsulas/p,50118,46.95,https://www.saojoaofarmacias.com.br/addera-d3-10-000ui-4cap-gel-farmasa/p,,58.22
7897322709499,   ADDERA D3 10.000UI 4CP REV,53444,54.0,https://www.precopopular.com.br/addera-d3-10000ui-com-4-comprimidos/p,732236,49.82,https://drogaraia.com.br/addera-d3-10-000ui-4-comprimidos.html,18842,48.39,https://www.paguemenos.com.br/addera-d3-10-000-ui-com-4-comprimidos/p,50110,46.95,https://www.saojoaofarmacias.com.br/addera-d3-10-000ui-4cp-rev-farmasa/p,,58.22
7896094920521,   ADDERA D3 132UI GTS 20ML,131158,91.72,,,,https://drogaraia.com.br/addera-d3-132ui-20ml.html,113166,82.49,https://www.paguemenos.com.br/addera-d3-132ui-gotas-20ml/p,58486,75.75,https://www.saojoaofarmacias.com.br/addera-d3-132ui-gotas-20ml-farmasa/p,,98.5
7896094917712,   ADDERA D3 2.000UI 30CAP MOLE,17721,55.76,https://www.precopopular.com.br/addera-d3-2000ui-com-30-capsulas/p,735085,59.74,https://drogaraia.com.br/addera-d3-2000ui-30-capsulas.html,47272,55.59,https://www.paguemenos.com.br/addera-d3-2000ui-com-30-capsulas-gelatinosas/p,53292,55.54,https://www.saojoaofarmacias.com.br/addera-d3-2-000ui-30cap-gel-farmasa/p,,51.89
7896094919556,   ADDERA D3 2.000UI 30CP REV,130139,63.77,https://www.precopopular.com.br/addera-d3-com-30-comprimidos-revestidos-2000ui/p,738931,61.62,https://drogaraia.com.br/addera-d3-2-000ui-com-30-comprimidos.html,111043,51.19,https://www.paguemenos.com.br/addera-d3-2000ui-com-30-comprimidos/p,57719,52.9,https://www.saojoaofarmacias.com.br/addera-d3-2000ui-30cp-rev-hypermarcas/p,,68.47
7896094919570,   ADDERA D3 2.000UI 90CP REV,135402,127.51,https://www.precopopular.com.br/addera-d3-leve-90-pague-60-comprimidos-revestidos-2000ui-especial/p,738932,123.25,https://drogaraia.com.br/addera-d3-2-000ui-com-90-comprimidos-1.html,111044,103.49,https://www.paguemenos.com.br/addera-d3-2000ui-com-90-comprimidos-revestidos/p,57720,105.5,https://www.saojoaofarmacias.com.br/addera-d3-2000ui-90cp-rev-hypermarcas/p,,108.39
7897322707617,   ADDERA D3 3.300UI/ML GTS 10ML,14475,51.0,,,,,,,,,,,,
7897322714431,   ADDERA D3 3.300UI/ML GTS 20ML,121792,82.7,,,,,,,,,,,,
7896094920507,   ADDERA D3 400UI GTS 10ML,135850,100.54,,,,https://drogaraia.com.br/addera-d3-400ui-10ml.html,113165,83.49,https://www.paguemenos.com.br/addera-d3-400ui-gotas-10ml/p,48846,76.25,https://www.saojoaofarmacias.com.br/addera-d3-400ui-gts-10ml-farmasa/p,,85.29
7897322709970,   ADDERA D3 5.000UI 30CAP MOLE,17722,106.21,https://www.precopopular.com.br/addera-d3-5000ui-com-30-capsulas-gel/p,733566,96.46,https://drogaraia.com.br/addera-d3-5000ui-30-capsulas.html,26200,80.99,https://www.paguemenos.com.br/addera-d3-5000ui-com-30-capsulas/p,51083,93.05,https://www.saojoaofarmacias.com.br/addera-d3-5000ui-30cap-gel-rev-farmasa/p,,114.06
7897322709451,   ADDERA D3 5.000UI 30CP REV,17126,106.21,https://www.precopopular.com.br/addera-d3-5000ui-c-30-cp/p,733565,100.94,https://drogaraia.com.br/addera-d3-50000ui-30-comprimidos.html,26195,80.99,https://www.paguemenos.com.br/addera-d3-5-000ui-com-30-comprimidos/p,51084,104.55,https://www.saojoaofarmacias.com.br/addera-d3-5000ui-30cp-rev-farmasa/p,,114.06
7897322709765,   ADDERA D3 50.000UI 10CP MOLE,112482,251.74,https://www.precopopular.com.br/addera-d3-50000ui-com-10-capsulas-gel/p,732851,204.56,https://drogaraia.com.br/addera-d3-50000ui-blister-com-10-capsulas-gelatinosas.html,23544,185.98,https://www.paguemenos.com.br/addera-d3-50-000-com-10-capsulas-gelatinosas/p,50651,210.15,https://www.saojoaofarmacias.com.br/addera-d3-50000ui-10cap-gel-farmasa/p,,270.36
7897322709536,   ADDERA D3 50.000UI 10CP REV,122440,251.5,https://www.precopopular.com.br/addera-d3-50000ui-com-10-comprimidos-revestidos/p,732852,221.07,https://drogaraia.com.br/addera-d3-50000ui-blister-com-10-comprimidos-revestidos.html,23535,176.0,https://www.paguemenos.com.br/addera-d3-50-000-ui-com-10-comprimidos/p,50650,224.75,https://www.saojoaofarmacias.com.br/addera-d3-50000ui-10cp-rev-farmasa/p,,270.36
7897322709758,   ADDERA D3 50.000UI 4CAP MOLE,109311,119.5,https://www.precopopular.com.br/addera-d3-50000ui-com-4-capsulas-gel/p,729636,110.01,https://drogaraia.com.br/addera-d3-50000-ui-4-capsulas-gelatinosa.html,7234,88.49,https://www.paguemenos.com.br/addera-d3-50000ui-com-4-capsulas-gelatinosas/p,47847,100.35,https://www.saojoaofarmacias.com.br/addera-d3-50000ui-4cap-gel-farmasa/p,,128.36
7897322709529,   ADDERA D3 50.000UI 4CP REV,14450,119.5,https://www.precopopular.com.br/addera-d3-50000ui-com-4-comprimidos/p,725129,113.66,https://drogaraia.com.br/addera-d3-50000-ui-1-blister-com-4-comprimidos.html,58167,85.99,https://www.paguemenos.com.br/addera-d3-50000ui-com-4-comprimidos/p,42957,100.35,,,
7896094918078,   ADDERA D3 50.000UI 6CAP MOLE,17723,175.25,https://www.precopopular.com.br/addera-d3-50000ui-com-6-capsulas-gel/p,735926,151.95,https://drogaraia.com.br/addera-d3-50000ui-6-capsulas-gelatinosa.html,69357,145.49,https://www.paguemenos.com.br/addera-d3-50000ui-com-6-capsulas/p,53932,151.55,https://www.saojoaofarmacias.com.br/addera-d3-50000ui-6cap-gel-farmasa/p,,188.22
7896094917873,   ADDERA D3 50.000UI 8CAP MOLE,133269,189.99,https://www.precopopular.com.br/addera-d3-50000ui-com-8-capsulas-gelatinosas-moles/p,735565,194.29,https://drogaraia.com.br/addera-d3-50-000ui-8-capsulas.html,53530,165.99,https://www.paguemenos.com.br/addera-d3-50-000ui-com-8-capsulas/p,53719,173.45,,,
7896094917866,   ADDERA D3 50.000UI 8CP REV,133288,190.0,https://www.precopopular.com.br/addera-d3-50000ui-com-8-comprimidos/p,735793,199.46,https://drogaraia.com.br/addera-d3-50-000ui-8-comprimidos-revestidos.html,53531,168.0,https://www.paguemenos.com.br/addera-d3-50-000-ui-com-8-comprimidos-revestidos/p,53720,183.25,https://www.saojoaofarmacias.com.br/addera-d3-50000ui-8-comprimidos-revestidos-farmasa/p,,226.68
7897322709734,   ADDERA D3 7.000UI 10CAP MOLE,109314,73.75,https://www.precopopular.com.br/addera-d3-7000ui-com-10-capsulas-gel/p,729780,66.79,https://drogaraia.com.br/addera-d3-7000-ui-10-capsulas-gelatinosa.html,7389,64.59,https://www.paguemenos.com.br/addera-d3-7000ui-com-10-capsulas-gelatinosas/p,47916,57.65,https://www.saojoaofarmacias.com.br/addera-d3-7000ui-10cap-farmasa/p,,79.3
7897322709475,   ADDERA D3 7.000UI 10CP REV,110107,73.83,https://www.precopopular.com.br/addera-d3-7000ui-com-10-comprimidos/p,730627,67.79,https://drogaraia.com.br/addera-d3-7000-ui-10-comprimidos-revestidos.html,8614,67.41,https://www.paguemenos.com.br/addera-d3-7000-ui-com-10-comprimidos/p,48767,72.45,https://www.saojoaofarmacias.com.br/addera-d3-7000ui-10-comprimidos-revestidos-farmasa/p,,79.3
